RBC	RBC_Score	FBC	FBC_Score
RB11	100	NB32	95.7591
unclassified	50.5042		0
unclassified	35.6303		0
RB09	100	NB49	100
RB09	78.4081	NB53	100
unclassified	40.8511		0
unclassified	50.9275		0
RB09	100	NB69	95.7806
RB09	73.3277	NB25	100
RB12	100	NB42	100
RB10	73.322	NB40	90.7549
RB10	100	NB59	100
RB09	100	unclassified	47.0439
RB10	100	NB59	100
RB11	100	NB09	100
unclassified	43.8552		0
RB10	78.4148	NB47	100
RB11	100	NB32	100
RB10	74.2833	NB40	85.6658
unclassified	42.2654		0
RB09	100	unclassified	42.0561
RB10	85.5565	NB22	100
RB10	94.9023	unclassified	41.0517
RB09	100	NB86	95.9184
RB12	100	NB62	100
RB12	100	unclassified	47.4979
RB11	100	NB42	100
RB09	100	NB39	100
RB12	90.6838	NB84	95.851
RB12	100	NB16	100
unclassified	51.3924		0
RB12	91.6178	NB51	100
RB09	100	NB81	100
RB09	100	NB95	100
unclassified	42.2654		0
RB09	80.9483	unclassified	66.9771
RB10	85.6661	NB61	100
RB09	82.7265	NB13	100
RB12	100	NB35	93.2261
RB09	100	NB26	100
unclassified	42.9412		0
RB11	90.678	NB55	100
RB10	90.8094	unclassified	62.9156
RB10	100	NB02	100
unclassified	64.3161		0
RB09	100	NB65	100
RB10	100	NB94	100
RB09	100	NB58	100
RB11	100	NB50	100
RB09	100	NB71	70.2037
RB10	80.8836	unclassified	38.7015
unclassified	40.8511		0
RB09	100	unclassified	57.9036
unclassified	66.2151		0
unclassified	35.5802		0
RB10	94.941	unclassified	43.0626
RB12	77.9487	NB16	95.777
unclassified	45.9322		0
RB09	100	NB84	100
RB10	85.6415	unclassified	40.8403
RB10	90.7251	NB22	100
RB11	100	NB02	100
RB09	87.6585	NB96	94.9196
unclassified	42.2654		0
RB10	100	NB77	100
RB12	100	unclassified	54.1137
RB12	77.9487	unclassified	46.1017
RB09	100	unclassified	41.9983
unclassified	35.5462		0
RB10	95.7841	NB90	100
RB12	78.0342	NB63	85.7504
RB11	100	NB73	100
RB12	90.7795	NB05	85.617
RB12	100	NB35	73.3277
RB10	100	unclassified	41.4696
unclassified	46.1211		0
RB09	82.2485	unclassified	54.5222
RB09	100	NB10	85.6415
unclassified	64.497		0
RB09	87.743	NB46	100
unclassified	43.4746		0
RB11	85.7143	NB73	79.8806
RB09	100	NB73	90.7928
RB12	100	unclassified	45.9322
unclassified	41.8644		0
RB10	75.8853	unclassified	43.6655
RB09	100	NB56	90.7549
RB09	100	NB10	100
RB09	100	unclassified	46.4527
RB09	100	NB25	100
unclassified	40.3035		0
unclassified	35.5802		0
unclassified	40.8511		0
RB11	100	unclassified	49.8311
RB09	100	NB62	94.9281
RB09	100	unclassified	48.2323
unclassified	43.3643		0
RB09	87.7223	NB51	91.5612
unclassified	42.4345		0
RB09	90.6859	NB48	85.7022
RB11	71.3559	NB25	100
unclassified	40.8511		0
unclassified	62.4894		0
RB09	100	NB06	100
RB12	100	NB14	80.5085
RB12	74.6154	NB05	83.4043
unclassified	42.4473		0
RB09	94.9281	NB30	100
RB09	100	NB52	71.1375
RB09	100	unclassified	44.2857
unclassified	53.6752		0
unclassified	41.2511		0
RB12	80.3419	NB17	100
unclassified	38.8983		0
unclassified	52.3285		0
RB12	100	unclassified	66.1864
unclassified	38.8983		0
RB09	100	NB65	79.9325
unclassified	37.479		0
RB10	95.7841	NB37	95.8615
RB09	100	unclassified	68.0473
unclassified	58.2631		0
RB10	82.328	NB10	91.5888
RB12	73.9316	unclassified	45.3165
unclassified	50.5485		0
RB10	79.2693	NB49	100
RB10	95.7841	NB81	95.7912
RB10	100	unclassified	45.7456
unclassified	65.7917		0
RB11	100	unclassified	38.8514
unclassified	40.8511		0
RB10	87.6805	NB78	100
unclassified	49.9157		0
RB11	100	unclassified	69.7124
unclassified	40.8511		0
unclassified	37.109		0
RB11	76.5004	NB38	87.6174
RB11	83.5165	NB89	100
unclassified	40.8511		0
unclassified	42.2654		0
RB10	100	NB87	95.777
RB09	79.0363	NB06	90.7173
RB09	100	NB42	100
RB09	100	unclassified	35.5274
RB09	100	unclassified	46.883
RB10	90.8094	NB12	80.8047
RB12	100	NB05	100
RB10	91.7587	NB17	70.643
RB10	100	NB80	95.7519
unclassified	36.766		0
RB11	100	NB12	95.8927
RB09	100	NB68	100
RB12	100	unclassified	37.5107
RB11	100	NB21	100
RB11	90.678	NB21	81.6807
RB11	85.5932	NB95	94.9109
RB11	100	unclassified	50.4223
RB11	100	unclassified	69.094
RB09	90.6859	NB92	100
unclassified	49.0229		0
unclassified	42.2654		0
RB11	90.7016	unclassified	56.3238
RB11	100	NB14	72.4576
unclassified	42.1097		0
unclassified	46.4979		0
RB11	86.5254	NB21	100
RB09	100	NB40	100
unclassified	50.5042		0
RB10	100	NB92	100
RB12	78.4577	unclassified	55.6588
unclassified	33.8969		0
RB09	100	NB42	100
RB11	100	NB12	95.8927
RB09	100	NB30	94.9281
RB10	90.7392	NB46	94.9664
unclassified	30.5042		0
unclassified	50.7692		0
unclassified	42.2654		0
RB10	95.9528	NB71	79.7114
RB11	87.743	NB72	76.5599
RB09	100	NB06	100
RB12	82.3973	unclassified	35.0803
RB11	90.678	NB86	100
RB11	100	NB68	75.7033
RB10	100	NB32	100
RB10	85.6661	NB32	100
RB09	73.0347	NB49	100
unclassified	40.8511		0
RB10	100	NB17	100
RB10	87.6805	NB02	100
RB12	73.9316	unclassified	65.43
RB12	100	NB79	100
RB11	79.9153	NB91	100
RB12	90.7795	NB52	100
RB09	100	NB40	70.5683
unclassified	33.6449		0
unclassified	38.8842		0
unclassified	35.6303		0
RB09	100	unclassified	68.7871
RB11	95.9322	NB51	87.4262
unclassified	41.7797		0
RB09	100	NB68	100
RB12	90.7692	NB46	95.8893
RB10	100	NB22	100
unclassified	29.7021		0
RB11	100	unclassified	45.2078
unclassified	50.5042		0
RB11	95.7735	NB69	100
RB10	100	NB35	81.3717
unclassified	66.5251		0
RB10	74.1716	NB64	82.5169
RB11	91.7797	NB96	94.9196
RB12	100	unclassified	41.2162
RB09	100	NB76	85.7264
RB10	100	NB22	91.6102
RB09	100	NB80	95.7519
RB11	100	NB17	100
RB09	75.7832	NB15	71.2838
RB11	78.6982	NB90	75.4029
RB11	90.8475	NB50	91.7369
RB09	91.8713	NB41	100
RB10	70.9106	NB49	100
unclassified	50.5042		0
RB09	72.4809	NB40	100
RB09	84.7844	NB09	100
unclassified	31.5126		0
RB10	100	NB70	87.447
RB12	95.8927	unclassified	42.8329
RB09	100	NB36	100
unclassified	40.8511		0
RB09	100	unclassified	34.6577
RB12	100	NB94	100
unclassified	51.1864		0
RB10	87.5956	unclassified	34.6577
RB12	100	unclassified	44.7148
RB09	85.7748	NB70	86.6836
RB10	100	NB91	95.858
RB11	89.1525	NB50	100
RB11	78.191	unclassified	42.3658
unclassified	31.229		0
unclassified	57.6923		0
RB10	73.946	NB91	100
unclassified	52.0816		0
unclassified	40.8511		0
unclassified	40.4057		0
RB10	83.5174	unclassified	41.6175
RB11	78.3898	NB43	86.6891
RB11	100	unclassified	40.4561
RB11	100	NB10	91.7587
RB09	91.885	NB70	100
RB09	100	NB30	100
RB12	100	NB73	100
RB09	90.8552	NB51	82.2785
unclassified	34.383		0
RB09	100	NB93	94.9367
RB10	100	NB08	100
unclassified	38.1513		0
RB09	100	unclassified	49.5319
RB10	100	NB24	81.5567
unclassified	45.7384		0
RB09	100	NB40	100
unclassified	65.2991		0
RB10	100	unclassified	52.1115
RB11	100	NB57	91.6385
RB09	100	NB36	100
unclassified	48.547		0
unclassified	44.8014		0
RB12	94.8718	unclassified	52.7519
unclassified	41.7797		0
RB10	86.5093	NB73	100
RB12	94.8718	NB86	91.6667
unclassified	54.3845		0
RB10	100	unclassified	44.9659
RB11	90.7016	unclassified	40.2036
RB09	100	NB83	80.678
RB09	100	NB83	94.9153
unclassified	54.3607		0
RB11	87.6271	NB57	100
RB09	95.7735	NB69	89.8734
RB09	100	NB69	95.7806
unclassified	36.6387		0
RB11	100	NB95	86.4292
unclassified	23.9662		0
RB09	91.5326	NB81	100
RB09	100	NB65	100
unclassified	40.5042		0
RB12	95.8927	NB87	90.7939
RB10	73.6619	NB11	95.7735
RB11	82.5424	unclassified	43.6488
RB10	100	NB80	79.2693
unclassified	37.384		0
unclassified	61.9492		0
RB09	100	NB30	90.8707
unclassified	51.8803		0
RB09	95.7735	unclassified	69.0355
RB12	100	NB83	86.6102
RB09	84.0813	NB30	100
RB12	90.7795	NB09	100
RB12	81.3675	unclassified	44.7749
unclassified	37.0433		0
RB11	100	unclassified	36.4785
RB09	100	NB51	100
RB12	100	unclassified	44.7749
unclassified	42.2654		0
RB11	100	NB88	100
RB10	100	unclassified	46.4195
RB10	100	NB15	95.9459
RB09	100	unclassified	41.3851
RB11	100	NB86	100
unclassified	36.9492		0
RB12	100	NB73	94.8849
RB11	100	NB76	100
RB09	100	unclassified	51.0602
RB10	100	NB10	100
unclassified	40.8511		0
RB12	70.4274	NB57	100
unclassified	39.1489		0
unclassified	65.3846		0
unclassified	37.7853		0
RB12	83.3194	unclassified	41.9983
unclassified	51.1864		0
unclassified	35.7566		0
RB12	100	NB44	100
RB09	100	unclassified	43.6007
RB11	90.8707	NB27	100
RB09	100	unclassified	47.0837
unclassified	42.2654		0
RB11	100	NB95	79.1349
RB12	87.6068	NB57	90.8784
RB10	100	NB44	85.6298
RB10	78.4992	NB68	100
unclassified	50.2131		0
RB12	85.9179	unclassified	37.1936
RB09	100	unclassified	49.8726
RB12	82.4786	NB30	91.5469
unclassified	30.339		0
RB10	79.8641	NB47	100
unclassified	45.7983		0
RB09	100	unclassified	44.2455
RB11	91.5469	NB91	86.5596
RB12	100	NB86	100
unclassified	34.9787		0
RB09	100	NB41	84.9745
RB10	100	NB69	85.654
RB10	85.6661	unclassified	36.1486
RB11	94.9281	unclassified	39.2223
RB10	100	unclassified	43.2963
RB12	100	unclassified	35.8056
RB11	100	NB47	100
RB09	100	NB35	70.6181
RB11	100	NB69	100
RB11	72.612	NB29	73.0964
RB10	100	NB95	100
RB10	100	unclassified	45.1477
RB11	83.8983	unclassified	60.4237
RB11	100	unclassified	41.082
RB09	100	NB79	100
RB09	100	unclassified	57.3604
RB12	100	unclassified	41.1516
RB11	100	NB39	100
RB11	90.7016	unclassified	40.5565
unclassified	41.9574		0
RB12	100	NB68	95.8227
unclassified	56.0169		0
RB10	87.6805	NB95	90.6701
RB09	100	NB25	100
RB12	86.8399	NB93	100
RB09	100	NB17	85.7022
RB12	78.7179	NB11	100
unclassified	69.4872		0
RB10	100	NB91	100
RB12	100	unclassified	54.5763
RB10	95.7841	unclassified	45.6853
RB11	100	NB36	84.8511
RB12	90.8634	unclassified	51.5612
RB11	90.7627	NB88	100
RB12	81.3675	unclassified	68.0272
RB09	100	NB32	87.7014
unclassified	46.7234		0
RB12	73.9316	NB40	100
unclassified	38.7234		0
RB09	82.7265	NB96	100
RB10	100	unclassified	36.2331
unclassified	42.2654		0
unclassified	69.6686		0
unclassified	40.8511		0
RB09	100	unclassified	46.2384
RB10	95.7841	NB78	100
RB12	100	NB67	100
RB11	95.8475	NB10	87.5956
RB10	100	NB93	91.8143
RB10	100	NB71	89.8132
unclassified	36.4706		0
RB09	100	unclassified	37.0464
RB09	100	NB10	87.5956
unclassified	46.559		0
unclassified	42.2654		0
RB10	100	NB05	94.8936
unclassified	48.8235		0
RB09	100	NB86	100
unclassified	37.1429		0
unclassified	54.5299		0
unclassified	31.7875		0
RB10	91.7587	NB22	95.8475
unclassified	29.8319		0
unclassified	52.8814		0
unclassified	36.766		0
unclassified	35.5802		0
unclassified	60.678		0
unclassified	57.5655		0
RB11	100	unclassified	41.4201
unclassified	50.5042		0
RB12	100	unclassified	61.1395
unclassified	50.9322		0
RB10	100	unclassified	52.1997
unclassified	42.2654		0
unclassified	50.5042		0
unclassified	40.8511		0
RB09	100	unclassified	47.973
RB12	71.0256	unclassified	34.6577
unclassified	62.5632		0
RB09	100	NB40	100
RB10	100	unclassified	68.4433
RB11	91.7797	NB43	78.433
RB09	100	NB76	76.3514
unclassified	40.8511		0
RB10	100	unclassified	46.5414
RB10	100	NB29	95.7699
RB10	100	unclassified	38.9217
RB09	79.0363	NB73	100
RB11	100	NB76	100
RB11	91.7797	NB36	100
RB09	100	NB27	90.7095
unclassified	50.5042		0
RB09	100	NB51	94.9367
RB12	86.5884	NB83	100
RB11	100	NB89	100
unclassified	37.774		0
RB10	100	NB35	87.7223
RB09	100	NB61	95.9356
RB11	100	NB76	100
RB09	100	NB90	75.4029
unclassified	42.2654		0
RB10	100	NB42	90.8629
RB09	100	NB80	85.6415
RB10	80.6071	NB94	83.2911
RB10	100	NB26	100
RB09	100	NB03	100
unclassified	61.3887		0
RB11	100	NB43	87.6158
unclassified	53.0802		0
unclassified	61.973		0
unclassified	44.1525		0
unclassified	28.2182		0
RB11	100	NB25	87.691
unclassified	37.5319		0
RB12	100	NB55	100
RB10	100	NB17	74.0271
RB11	95.7735	NB65	76.3912
RB11	83.8983	NB38	100
RB09	87.6376	NB35	77.138
RB12	85.7502	NB79	100
RB12	100	unclassified	41.2805
RB09	85.6901	NB83	100
unclassified	61.1346		0
RB11	90.7016	NB90	100
RB12	71.3675	unclassified	52.7566
RB09	91.885	NB83	100
RB12	91.6239	NB95	95.7591
RB10	100	NB08	79.8312
RB09	100	NB21	100
RB09	90.7016	NB50	100
RB09	100	NB90	100
RB11	79.4915	NB78	100
RB11	100	NB15	100
RB11	73.0508	unclassified	37.808
RB09	86.6215	NB40	100
RB12	70.4274	NB61	95.7663
RB09	100	NB34	85.5925
RB11	100	NB09	100
RB09	100	unclassified	35.6351
RB10	100	NB55	100
unclassified	64.5816		0
unclassified	42.2654		0
RB11	90.7016	unclassified	34.7679
RB12	90.6838	NB05	100
RB11	75.2325	NB94	85.7384
RB12	76.3248	NB80	100
RB12	100	NB87	100
unclassified	39.6624		0
unclassified	46.9492		0
unclassified	36.2712		0
unclassified	41.4286		0
RB10	85.5565	unclassified	39.6115
RB09	100	NB59	100
unclassified	42.2689		0
RB12	79.0444	NB95	90.8397
unclassified	65.5085		0
RB11	100	unclassified	63.8136
RB09	85.7143	unclassified	62.2354
RB10	100	NB42	77.5804
unclassified	50.5042		0
RB09	100	NB31	100
RB11	100	NB36	100
RB11	100	NB61	73.4124
RB10	100	NB26	85.6298
RB11	100	NB14	71.2712
