Best_Barcode	Score
RB03	100
RB02	64.0336
RB01	100
RB02	79.916
unclassified	32.8814
RB03	87.2881
RB01	95.9391
RB03	100
RB01	100
RB02	100
RB03	83.2203
RB03	100
RB02	100
RB01	100
RB01	100
RB01	100
RB02	100
RB02	87.8151
RB02	87.6385
RB03	95.865
unclassified	39.0717
RB01	60.9983
RB03	100
RB02	100
RB03	100
RB03	100
unclassified	38.4746
RB02	87.8151
unclassified	33.6709
RB02	84.2017
RB01	58.4746
unclassified	38.9873
RB03	100
RB03	100
RB02	90.7563
RB02	100
RB02	51.2361
RB02	100
RB02	100
RB03	100
RB02	100
unclassified	39.4247
RB01	95.7627
RB01	100
RB01	100
unclassified	39.4247
RB01	100
RB02	79.8319
RB01	85.5932
RB01	100
RB03	59.1561
RB02	100
RB03	100
RB02	65.7143
RB01	100
RB01	70.1354
RB02	100
RB03	100
unclassified	39.7468
RB01	100
RB02	100
RB02	100
RB03	78.1356
RB02	100
RB02	100
RB01	100
unclassified	41.6034
RB03	90.7627
RB02	100
RB01	100
unclassified	42.0253
RB03	62.9661
unclassified	41.6878
RB03	100
unclassified	39.0717
RB01	100
RB01	100
RB01	100
RB03	100
unclassified	43.1224
unclassified	38.4746
RB01	100
RB03	93.2489
RB02	100
RB02	85.8824
unclassified	38.4746
unclassified	40.1861
RB03	100
RB03	100
RB03	100
RB02	100
RB01	100
RB03	100
RB03	100
RB01	100
RB02	91.6807
unclassified	44.4538
RB03	100
RB03	100
unclassified	49.2386
RB01	100
RB01	100
unclassified	39.4247
RB02	70
RB01	74.5763
RB03	88.9831
RB01	100
unclassified	41.3445
RB01	65.2542
RB03	100
RB01	100
RB03	80.5085
unclassified	47.6271
RB02	100
RB02	73.913
RB02	100
unclassified	38.4746
RB03	100
RB02	100
unclassified	45.9322
RB01	73.3051
RB03	100
RB03	100
RB02	74.5951
RB03	95.865
RB02	100
RB02	100
RB02	58.4874
unclassified	45.5932
RB01	86.4407
RB03	100
RB01	100
RB01	100
RB01	100
RB02	100
RB02	100
RB03	100
RB03	100
RB01	74.6193
RB01	100
RB02	73.5294
unclassified	38.4746
RB01	100
RB01	66.3283
unclassified	45.654
RB02	100
RB01	91.8782
RB01	100
RB03	100
RB02	78.2353
unclassified	38.4746
RB02	100
RB03	87.7119
RB01	74.5763
RB03	94.9367
RB01	95.7627
RB02	87.6385
RB01	100
RB01	100
RB01	100
RB01	78.8136
RB02	78.5714
RB01	100
RB01	100
RB03	100
RB03	100
RB01	83.9255
RB03	67.2574
RB03	100
RB02	100
unclassified	44.2857
RB02	100
RB03	90.8475
RB01	100
RB03	100
RB02	94.8849
RB03	100
RB02	94.8849
RB03	83.2203
RB02	64.6206
RB03	100
RB02	100
RB03	89.8305
RB02	100
RB01	67.1743
unclassified	36.0406
RB02	100
RB02	100
RB02	60.8403
unclassified	38.4746
RB01	83.0508
RB01	71.4044
RB01	74.5763
RB02	69.0756
RB03	53.1356
RB01	100
unclassified	47.0389
RB03	68.6441
RB02	100
RB02	100
RB03	100
RB01	100
RB01	100
RB02	87.468
RB01	100
RB03	90.8861
RB02	100
RB03	100
unclassified	42.4473
RB01	94.9153
RB01	100
RB03	100
RB02	100
unclassified	43.3898
unclassified	37.4684
RB01	88.9831
RB03	100
RB02	100
unclassified	38.4746
RB02	100
unclassified	40.7595
RB02	100
RB03	100
RB02	87.6385
RB03	100
RB03	100
RB03	100
unclassified	45.2685
RB01	85.5932
unclassified	36.4706
RB02	100
RB01	100
RB03	100
RB03	83.2203
RB01	100
RB03	100
RB03	100
RB03	100
RB03	100
RB02	100
RB02	100
RB03	100
unclassified	40.4202
unclassified	45.9322
unclassified	47.3773
RB03	100
RB03	87.7966
RB03	72.2881
RB01	100
RB02	100
unclassified	38.4746
RB03	100
RB02	82.7731
RB03	57.9661
RB03	100
unclassified	45.6007
RB01	100
RB01	100
RB01	100
RB02	100
RB01	95.9391
RB03	63.8136
RB03	100
RB03	95.7627
unclassified	41.6878
unclassified	38.4746
RB03	85.5932
RB03	59.8312
RB03	90.7173
RB02	100
RB02	85.6777
RB01	100
RB02	100
unclassified	38.4746
RB02	100
RB03	100
unclassified	38.4746
RB03	100
RB01	87.2881
RB03	100
unclassified	39.4247
RB02	100
unclassified	35.4237
unclassified	39.4247
RB02	86.7008
RB02	100
RB02	100
unclassified	41.8644
RB03	87.6793
RB03	100
unclassified	45.8228
RB02	100
RB01	68.2741
unclassified	48.5714
RB03	100
RB03	85.7627
unclassified	41.4346
RB01	100
RB02	94.8849
RB03	64.7458
unclassified	47.8003
RB01	100
RB03	90.8475
unclassified	45.8653
unclassified	38.4746
RB02	89.7698
RB01	90.8629
RB02	74.8739
unclassified	38.4746
unclassified	40.7595
RB03	100
unclassified	41.6878
RB03	79.2405
RB03	80.5932
RB02	100
RB02	90.7563
unclassified	39.0717
RB02	100
RB03	100
unclassified	36.8866
RB02	69.0756
RB02	100
RB01	50.0847
RB02	100
unclassified	40.7595
RB02	72.7731
RB03	79.2405
unclassified	39.0717
RB01	100
RB01	100
RB02	90.7563
RB03	100
RB03	100
RB01	95.7627
RB01	100
unclassified	36.0406
unclassified	38.0591
unclassified	39.4247
RB03	57.3729
RB01	100
RB01	85.6176
RB02	100
RB02	100
RB02	100
RB02	100
RB02	100
unclassified	38.4746
RB02	87.468
RB03	50.4237
RB03	100
RB03	100
RB01	100
unclassified	40.7595
RB01	100
RB03	100
RB01	54.5763
RB01	68.9509
RB03	59.4915
RB02	100
RB02	91.5966
RB01	100
RB03	100
RB02	100
RB03	100
RB01	85.5932
unclassified	38.4746
RB03	100
RB03	62.4473
RB03	91.5254
RB01	83.0508
unclassified	45.654
RB03	100
unclassified	38.4746
unclassified	39.4247
RB02	100
RB02	100
RB03	100
RB03	100
RB02	60
RB02	100
RB01	94.9239
unclassified	39.4247
RB01	87.2881
RB03	100
RB01	78.1356
RB02	100
RB02	100
unclassified	45.3469
RB01	100
unclassified	39.4247
RB01	100
RB03	90.8861
RB01	100
RB02	100
RB03	100
unclassified	43.1224
RB03	100
RB01	64.9153
RB01	100
RB02	76.4706
RB03	100
unclassified	40.7595
RB01	100
RB01	79.2373
unclassified	43.1224
RB02	100
RB03	100
RB02	100
RB01	100
unclassified	38.4746
RB02	100
RB01	66.4129
RB03	85.654
RB02	100
RB01	58.291
unclassified	38.4746
unclassified	39.4247
RB01	100
unclassified	49.2386
RB02	100
unclassified	38.4746
unclassified	38.4746
RB02	100
RB01	85.6176
RB03	95.865
unclassified	41.6878
RB03	95.7627
RB02	100
RB03	100
RB03	100
unclassified	40.339
RB02	90.7563
RB03	100
RB03	100
unclassified	38.4746
RB02	100
RB02	94.958
unclassified	39.4247
RB01	78.1356
RB01	85.7627
RB03	100
RB01	83.0508
RB02	100
RB02	72.3529
RB01	84.8562
RB03	100
unclassified	40.7595
unclassified	43.5593
RB03	100
RB02	100
RB02	100
RB01	100
RB03	93.2489
RB03	84.9153
RB02	100
RB02	70.6723
RB01	71.1017
unclassified	47.7157
unclassified	39.4247
RB02	100
RB03	100
RB02	94.958
unclassified	49.6164
RB01	100
RB01	95.9391
RB03	84.8101
RB03	91.8143
RB02	100
RB01	100
RB02	69.9062
RB01	100
RB03	100
RB01	100
RB02	100
RB03	64.0506
RB01	100
RB02	77.395
RB01	66.6102
RB01	100
RB01	79.6108
unclassified	41.6878
RB01	100
RB03	100
RB02	90.7928
unclassified	36.0406
RB03	53.7288
RB02	100
RB01	100
unclassified	43.3613
RB02	100
RB03	100
RB01	75.5499
RB01	100
RB01	86.5482
unclassified	44.8101
RB02	100
RB02	83.2773
unclassified	40.4202
RB03	83.2203
unclassified	47.6271
RB01	100
RB02	100
RB03	100
RB02	100
RB02	61.5126
RB03	100
RB02	74.958
RB03	100
RB01	100
RB03	57.8814
RB03	100
RB03	100
RB01	67.3729
RB02	100
RB01	73.8579
RB02	85.7143
RB02	100
RB03	60.5932
RB01	71.4044
RB01	100
unclassified	40.7595
RB03	100
RB01	76.2712
RB02	80.5627
RB02	100
unclassified	35.9322
unclassified	47.7637
RB03	85.654
unclassified	45.5932
unclassified	40.7595
RB01	100
unclassified	48.8136
unclassified	49.5359
unclassified	45.6303
RB03	100
RB03	100
RB03	100
unclassified	43.1092
RB03	100
RB02	91.5966
unclassified	42.2689
unclassified	47.6271
unclassified	47.6271
RB02	100
unclassified	46.1017
unclassified	39.4247
RB02	100
RB02	72.3529
RB03	100
unclassified	40.3553
RB01	100
RB02	80.6723
RB02	100
RB01	100
RB01	74.5763
unclassified	41.1168
RB02	100
RB02	82.4382
unclassified	39.4247
RB03	74.4068
RB03	72.4895
RB03	100
unclassified	40.7595
RB03	94.9153
RB01	50.7614
unclassified	45.9322
RB03	100
RB02	100
RB02	100
RB02	100
RB01	100
unclassified	39.4247
unclassified	43.2203
RB01	100
unclassified	38.4746
RB03	95.7627
unclassified	38.4746
RB01	78.4746
RB02	100
RB03	100
RB03	100
RB03	78.4746
RB02	100
RB03	91.8143
RB01	52.0305
RB03	100
RB01	95.7627
RB02	52.3444
RB01	85.6176
RB01	82.3729
RB03	100
RB03	50.1695
RB01	90.8629
RB01	67.1743
RB02	100
RB03	100
RB03	100
RB01	100
RB01	100
RB03	83.2203
RB01	100
RB02	100
RB03	100
RB03	100
unclassified	43.9662
RB03	66.3291
RB03	72.4051
RB02	100
RB01	100
unclassified	45.9072
RB03	100
unclassified	35.6962
RB02	100
RB02	100
unclassified	36.4557
RB02	100
RB01	100
unclassified	47.2269
RB02	61.5126
RB02	100
RB01	100
RB02	91.5966
RB01	56.1017
RB03	100
unclassified	38.4746
RB01	100
RB01	87.2881
RB02	82.2677
RB03	100
RB02	77.3109
RB03	90.7627
RB02	77.395
RB02	100
RB02	70.7563
RB03	83.2203
RB01	100
RB01	100
RB01	90.6937
RB02	100
RB01	100
RB01	90.678
RB01	100
RB03	100
RB01	100
RB02	100
RB01	100
RB01	78.8136
RB01	79.6108
RB01	100
RB02	100
RB01	91.8782
RB03	90.8861
RB03	74.346
unclassified	39.4247
RB02	100
unclassified	38.4746
RB03	87.7119
RB03	61.3502
RB02	100
RB01	61.9492
RB03	100
unclassified	40.339
RB01	100
RB01	100
RB03	100
RB02	100
RB02	100
RB01	100
RB02	50.8951
RB02	61.3445
RB03	91.8143
RB02	75.1066
unclassified	40.7595
unclassified	38.4746
RB03	87.6793
RB03	79.0678
RB03	65.678
RB02	87.6385
RB01	100
unclassified	40.7595
RB02	100
RB02	87.468
unclassified	36.0406
unclassified	38.4746
RB03	100
RB02	100
unclassified	39.4247
RB02	100
RB01	100
RB03	100
unclassified	40
RB01	64.7208
RB01	75.5499
RB01	70.339
RB01	63.8136
RB02	100
RB02	87.468
RB02	72.437
RB02	100
RB02	64.5354
RB02	59.2437
RB03	91.5254
unclassified	38.4746
RB02	100
RB03	100
unclassified	41.8644
RB03	61.6102
RB03	100
RB01	91.6244
RB03	100
RB03	100
RB01	100
RB02	100
RB01	100
unclassified	39.4247
unclassified	38.4746
RB03	91.8143
RB01	74.9577
RB01	100
RB02	100
RB03	95.7627
RB03	100
RB01	74.5763
RB02	100
RB02	100
RB03	100
RB03	94.9367
RB02	76.3001
RB03	100
RB01	81.3559
RB02	51.2361
RB02	60
RB02	90.7076
RB02	100
RB03	100
unclassified	38.4746
RB03	95.865
RB02	85.7143
RB02	85.5072
RB03	90.7627
RB01	100
unclassified	39.4247
unclassified	39.4247
RB01	87.7119
unclassified	45.3469
RB01	91.5254
unclassified	40.7595
RB01	91.8782
RB01	100
RB02	100
RB01	87.7966
RB03	58.9873
RB02	100
RB01	100
RB03	100
RB01	100
unclassified	39.4247
RB01	100
unclassified	38.4746
RB03	100
RB02	100
RB03	100
RB01	100
unclassified	38.4746
RB03	68.3544
unclassified	42.3629
RB03	100
RB03	100
RB02	100
RB01	90.678
unclassified	39.4247
RB02	80.5627
RB01	91.8782
RB01	91.6244
RB01	100
RB02	100
RB01	100
RB01	100
RB02	100
RB02	100
unclassified	41.6878
RB01	85.6176
unclassified	39.4247
RB03	100
RB03	69.1525
RB01	51.1844
RB01	83.0508
RB01	63.7288
RB02	100
RB03	100
RB02	100
RB01	100
RB01	100
unclassified	39.4247
RB01	81.4721
unclassified	39.2555
RB01	100
RB02	100
RB03	95.7627
RB01	100
unclassified	39.4247
RB02	89.7698
RB02	73.1458
RB02	100
RB03	90.7173
RB02	100
RB01	100
RB01	100
RB02	100
RB01	100
unclassified	38.4746
RB03	100
RB03	100
RB01	100
RB01	85.5932
unclassified	49.5359
unclassified	39.4247
RB01	82.7119
RB02	100
RB02	100
RB01	100
unclassified	44.7899
unclassified	38.4746
RB01	90.678
RB02	78.2353
unclassified	47.9325
RB01	100
RB03	100
RB01	100
RB03	100
RB01	58.2064
unclassified	39.4247
RB02	70.844
RB03	100
RB01	50.423
RB03	100
RB03	100
RB03	100
RB01	100
RB03	100
RB03	91.5612
RB01	100
RB02	67.3109
RB03	100
RB02	100
RB02	100
RB03	100
RB01	100
RB02	100
RB01	100
RB01	84.7716
RB03	100
RB02	83.2773
RB02	85.5072
unclassified	49.5311
RB03	50.4237
unclassified	43.5593
RB02	100
RB03	51.9831
RB02	87.7238
unclassified	40.339
RB01	100
RB03	70.211
RB03	100
RB01	60.5932
RB03	90.8861
RB03	100
RB01	100
RB02	54.3697
RB02	100
RB01	100
RB01	85.6176
RB02	100
RB01	100
RB02	93.2773
RB02	100
RB01	100
RB02	94.958
RB02	100
RB02	100
RB02	56.4365
RB02	100
RB02	100
RB01	100
RB03	95.865
RB02	87.468
RB03	90.7173
RB01	66.3283
RB01	52.8814
unclassified	40.5932
RB01	94.9153
RB02	100
RB03	100
RB03	100
RB01	100
RB02	95.9079
RB03	85.654
RB03	100
RB03	55.6118
RB03	100
RB03	100
RB01	87.4576
RB01	51.1844
RB01	100
RB01	100
RB02	74.958
RB02	100
RB02	100
RB01	85.7627
RB03	100
RB01	91.8782
RB01	100
RB02	100
RB03	80.5907
RB02	100
RB03	87.7966
RB02	100
RB02	100
RB02	100
unclassified	40.7595
RB03	100
RB03	100
RB02	62.9156
RB02	100
RB01	100
RB02	100
RB03	53.3051
RB02	100
RB02	100
RB03	100
RB03	100
RB03	100
RB03	87.6793
RB03	83.5593
RB01	100
RB02	100
RB03	55.6118
RB03	100
RB03	100
RB03	64.661
RB03	83.2203
RB01	100
RB03	100
RB03	51.9831
RB01	85.7627
unclassified	39.8312
RB01	100
RB02	100
unclassified	44.2194
RB02	100
unclassified	40.7595
RB03	100
RB03	79.8312
unclassified	39.8477
RB02	87.8151
RB01	100
RB01	100
RB03	100
unclassified	38.4746
RB03	56.1181
RB02	87.8151
RB01	70.643
RB03	90.7173
RB01	82.3729
RB01	58.0508
RB02	100
unclassified	38.4746
unclassified	45.0847
unclassified	39.4247
RB03	76.4557
RB02	100
RB03	65.5932
RB02	58.9076
RB02	100
RB01	100
RB02	100
RB01	74.5763
RB03	59.0678
unclassified	39.4247
RB03	100
RB02	86.6387
RB01	100
RB02	100
RB03	85.5932
RB01	100
RB02	100
RB03	100
RB02	100
RB02	100
RB03	52.827
unclassified	39.4247
RB02	100
unclassified	47.1235
unclassified	39.4247
RB02	100
RB03	73.3898
RB01	100
RB01	54.9915
unclassified	38.4746
RB03	95.7627
RB01	100
unclassified	43.6287
unclassified	43.1092
RB02	60.7563
RB01	100
RB02	83.4454
RB01	100
RB03	58.6441
RB02	100
unclassified	39.1561
unclassified	39.4247
unclassified	38.9076
RB02	83.376
RB01	90.7627
RB02	82.4382
unclassified	38.4746
RB02	73.1458
RB03	94.9153
RB01	85.7627
RB01	78.8136
RB02	85.8824
RB01	100
RB01	100
unclassified	38.4746
RB01	100
RB02	87.8151
RB01	83.2487
RB03	100
RB01	70.339
RB01	100
RB02	100
RB01	100
RB01	100
RB01	71.4044
RB03	80.7595
RB03	100
RB03	90.8017
RB01	100
unclassified	39.4247
RB03	57.2034
RB01	100
unclassified	39.4247
RB01	100
RB01	91.6244
RB01	100
RB01	83.6717
RB02	100
RB01	72.3729
RB01	100
RB03	100
RB03	100
unclassified	41.6244
RB01	100
unclassified	39.4247
RB03	100
RB01	65.2542
RB01	87.7966
unclassified	38.4746
RB02	61.5126
RB01	100
RB02	100
RB01	83.2487
RB01	100
RB01	100
RB01	100
RB01	70.339
RB02	76.5546
RB03	90.7173
RB03	64.7257
unclassified	40.7595
RB03	100
RB02	100
RB02	57.1429
unclassified	40.7595
RB03	100
RB03	100
RB03	74.661
RB01	100
RB03	100
unclassified	39.4247
RB02	83.8022
unclassified	34.8739
RB01	57.9526
RB03	83.2203
RB02	100
RB01	100
RB02	85.5072
RB02	78.2353
RB02	100
unclassified	40.5042
RB03	69.661
RB01	55.3299
RB02	58.9088
RB02	60.9548
RB02	100
RB01	100
unclassified	39.4247
